OTU,Sample,Abundance,depth_m,Water_Layer,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,Abundance_P,AA_Genus,Phylum_Genus
Otu00006,LC-15point5m-E1,0.062975183,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,6.29751829,36840.482,Cyanobacteria|Chloroplast_ge
Otu00007,LC-13m-E1,0.062346382,13,Chemocline,95333.33333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,6.234638211,5943.688428,Actinobacteria|acI-A
Otu00019,LC-11m-E1,0.060977584,11,Mixolimnion,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,6.097758356,6361.994549,Bacteroidetes|unclassified
Otu00035,LC-3m-E1,0.058566607,3,Mixolimnion,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betII,Pnec,5.856660711,5602.87208,Proteobacteria|Pnec
Otu00007,LC-9m-E1,0.057794577,9,Mixolimnion,73000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,5.779457654,4219.004087,Actinobacteria|acI-A
Otu00045,LC-11m-E1,0.054260743,11,Mixolimnion,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,5.42607429,5661.204174,Bacteroidetes|unclassified
Otu00028,LC-9m-E1,0.051905243,9,Mixolimnion,73000,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,5.190524326,3789.082758,Armatimonadetes|Armatimonas
Otu00019,LC-3m-E1,0.051618027,3,Mixolimnion,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,5.16180266,4938.124545,Bacteroidetes|unclassified
Otu00009,LC-3m-E1,0.050526107,3,Mixolimnion,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,5.052610681,4833.664218,Verrucomicrobia|uncultured_ge
Otu00009,LC-5m-E1,0.046037255,5,Mixolimnion,86666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,4.603725476,3989.895413,Verrucomicrobia|uncultured_ge
Otu00045,LC-5m-E1,0.045328989,5,Mixolimnion,86666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,4.532898931,3928.512407,Bacteroidetes|unclassified
Otu00006,LC-3m-E1,0.044934154,3,Mixolimnion,95666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,4.493415393,4298.700726,Cyanobacteria|Chloroplast_ge
Otu00019,LC-5m-E1,0.044337418,5,Mixolimnion,86666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,4.433741766,3842.576198,Bacteroidetes|unclassified
Otu00031,LC-5m-E1,0.043558326,5,Mixolimnion,86666.66667,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,acIV,acIV-A,4.355832566,3775.054891,Actinobacteria|acIV-A
Otu00017,LC-3m-E1,0.043345907,3,Mixolimnion,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae_ge,4.334590696,4146.758432,Verrucomicrobia|Pedosphaeraceae_ge
Otu00028,LC-5m-E1,0.04306254,5,Mixolimnion,86666.66667,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,4.306253984,3732.086786,Armatimonadetes|Armatimonas
Otu00026,LC-3m-E1,0.043015022,3,Mixolimnion,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,4.301502217,4115.103788,Proteobacteria|betIV-A
Otu00045,LC-3m-E1,0.042121633,3,Mixolimnion,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,4.212163325,4029.636247,Bacteroidetes|unclassified
Otu00039,Cadagno7m-E2,0.041666667,7,Mixolimnion,157333.3333,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna1,Luna1-A,4.166666667,6555.555554,Actinobacteria|Luna1-A
Otu00012,LC-15point5m-E1,0.040883661,15.5,Chemocline,585000,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_unclassified,4.088366088,23916.94162,Firmicutes|Erysipelotrichaceae_unclassified
